"","game_id","game_date","team","FGA_2","FGM_2","FGA_3","FGM_3","FTA","FTM","AST","BLK","STL","TOV","TOV_team","DREB","OREB","F_tech","F_personal","team_score","opponent_team_score","largest_lead","notD1_incomplete","OT_length_min_tot","rest_days","attendance","tz_dif_H_E","prev_game_dist","home_away","home_away_NS","travel_dist"
"29","game_2022_15","2021-11-09","blackburn_beavers","24","10","30","6","18","14","5","0","14","34","0","20","7","0","18","52","114","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"30","game_2022_15","2021-11-09","north_alabama_lions","43","28","39","16","13","10","29","4","17","23","1","34","19","0","18","114","52","62","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"41","game_2022_21","2021-11-09","gettysburg_bullets","32","10","18","2","13","7","6","3","5","22","0","24","8","0","26","33","79","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"42","game_2022_21","2021-11-09","umbc_retrievers","58","19","5","3","35","32","12","2","7","12","1","33","20","0","15","79","33","47","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"55","game_2022_28","2021-11-09","montana_state_bobcats","55","22","13","5","11","10","14","6","5","5","0","29","14","0","20","69","60","14","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"56","game_2022_28","2021-11-09","carroll_mt_fighting_saints","28","7","25","11","18","13","12","4","2","11","1","27","9","0","13","60","69","6","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"57","game_2022_29","2021-11-09","warner_pacific_knights","40","17","25","8","7","6","21","2","6","17","1","20","15","0","10","64","87","4","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"58","game_2022_29","2021-11-09","portland_state_vikings","39","23","27","12","6","5","21","3","12","12","1","25","12","0","9","87","64","25","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"61","game_2022_31","2021-11-09","westcliff_warriors","58","19","15","3","7","6","4","2","8","16","1","18","15","0","18","53","114","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"62","game_2022_31","2021-11-09","uc_irvine_anteaters","53","30","23","13","25","15","30","9","10","12","0","37","21","0","14","114","53","63","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"65","game_2022_33","2021-11-09","biola_eagles","40","21","16","4","7","7","9","1","8","21","2","25","5","0","10","61","80","0","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"66","game_2022_33","2021-11-09","long_beach_state_beach","51","30","22","5","11","5","18","4","15","14","0","26","15","0","12","80","61","21","FALSE",NA,NA,NA,NA,NA,"home","0",NA
"83","game_2022_42","2021-11-09","emory_henry_wasps","34","12","22","5","13","9","10","3","9","21","2","21","5","0","18","48","72","3","TRUE",NA,NA,NA,NA,NA,"away","0",NA
"84","game_2022_42","2021-11-09","western_carolina_catamounts","47","27","19","3","16","9","13","4","12","20","1","33","14","0","13","72","48","31","FALSE",NA,NA,NA,NA,NA,"home","0",NA
